A37|English|symmetrical variation|c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 Nf3 
A37|English|symmetrical, Botvinnik system reversed|c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 Nf3 e5 
A38|English|symmetrical variation|c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 Nf3 Nf6 
A38|English|symmetrical, main line with d3|c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 Nf3 Nf6 O-O O-O d3 
A38|English|symmetrical, main line with b3|c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 Nf3 Nf6 O-O O-O b3 
A39|English|symmetrical, main line with d4|c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 Nf3 Nf6 O-O O-O d4 
A40|Queen's pawn||d4 
A40|Queen's pawn|Lundin (Kevitz-Mikenas) defence|d4 Nc6 
A40|Queen's pawn|Charlick (Englund) gambit|d4 e5 
A40|Queen's pawn|Englund gambit|d4 e5 dxe5 Nc6 Nf3 Qe7 Qd5 f6 exf6 Nxf6 
A40|Queen's pawn|English defence|d4 b6 
A40|Polish defence||d4 b5 
A40|Queen's pawn||d4 e6 
A40|Queen's pawn|Keres defence|d4 e6 c4 b6 
A40|Queen's pawn|Franco-Indian (Keres) defence|d4 e6 c4 Bb4+ 
A40|Modern defence||d4 g6 
A40|Beefeater defence||d4 g6 c4 Bg7 Nc3 c5 d5 Bxc3+ bxc3 f5 
A41|Queen's Pawn||d4 d6 
A41|Old Indian|Tartakower (Wade) variation|d4 d6 Nf3 Bg4 
A41|Old Indian defence||d4 d6 c4 
A41|Modern defence||d4 d6 c4 g6 Nc3 Bg7 
A41|Robatsch defence|Rossolimo variation|e4 g6 d4 Bg7 Nf3 d6 c4 Bg4 
A42|Modern defence|Averbakh system|d4 d6 c4 g6 Nc3 Bg7 e4 
A42|Pterodactyl defence||d4 d6 c4 g6 Nc3 Bg7 e4 c5 Nf3 Qa5 
